X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
96.384277,27.768456,250,Arunachal Pradesh,India,2020/12/12 01:27:11+00,27.768456,96.384277,16479,15739,55,685,,,"Arunachal Pradesh, India"
92.830441,26.357149,251,Assam,India,2020/12/12 01:27:11+00,26.357149,92.830441,214305,209790,999,3516,,,"Assam, India"
85.60484,25.679658,252,Bihar,India,2020/12/12 01:27:11+00,25.679658,85.60484,240572,233766,1307,5499,,,"Bihar, India"
76.768278,30.733839,253,Chandigarh,India,2020/12/12 01:27:11+00,30.733839,76.768278,18410,17231,298,881,,,"Chandigarh, India"
82.035366,21.264705,254,Chhattisgarh,India,2020/12/12 01:27:11+00,21.264705,82.035366,252638,230238,3054,19346,,,"Chhattisgarh, India"
73.080901,20.194742,255,Dadra and Nagar Haveli and Daman and Diu,India,2020/12/12 01:27:11+00,20.194742,73.080901,3354,3332,2,20,,,"Dadra and Nagar Haveli and Daman and Diu, India"
77.10898,28.646519,256,Delhi,India,2020/12/12 01:27:11+00,28.646519,77.10898,601150,572523,9874,18753,,,"Delhi, India"
74.057396,15.359682,257,Goa,India,2020/12/12 01:27:11+00,15.359682,74.057396,49131,47215,703,1213,,,"Goa, India"
71.590923,22.694884,258,Gujarat,India,2020/12/12 01:27:11+00,22.694884,71.590923,224081,206126,4135,13820,,,"Gujarat, India"
76.332824,29.20004,259,Haryana,India,2020/12/12 01:27:11+00,29.20004,76.332824,249329,235197,2676,11456,,,"Haryana, India"
77.233081,31.927213,260,Himachal Pradesh,India,2020/12/12 01:27:11+00,31.927213,77.233081,47703,39065,773,7865,,,"Himachal Pradesh, India"
76.612638,33.75943,261,Jammu and Kashmir,India,2020/12/12 01:27:11+00,33.75943,76.612638,114773,108150,1775,4848,,,"Jammu and Kashmir, India"
85.557631,23.654536,262,Jharkhand,India,2020/12/12 01:27:11+00,23.654536,85.557631,111003,108320,993,1690,,,"Jharkhand, India"
76.166436,14.70518,263,Karnataka,India,2020/12/12 01:27:11+00,14.70518,76.166436,897801,866664,11912,19225,,,"Karnataka, India"
76.405749,10.450898,264,Kerala,India,2020/12/12 01:27:11+00,10.450898,76.405749,654041,591845,2533,59663,,,"Kerala, India"
77.5771,34.1526,265,Ladakh,India,2020/12/12 01:27:11+00,34.1526,77.5771,9071,8175,122,774,,,"Ladakh, India"
72.1833326,13.6999972,266,Lakshadweep,India,2020/12/12 01:27:11+00,13.6999972,72.1833326,0,0,0,0,,,"Lakshadweep, India"
78.289633,23.541513,267,Madhya Pradesh,India,2020/12/12 01:27:11+00,23.541513,78.289633,219893,203294,3373,13226,,,"Madhya Pradesh, India"
76.108221,19.449759,268,Maharashtra,India,2020/12/12 01:27:11+00,19.449759,76.108221,1868172,1747199,47972,73001,,,"Maharashtra, India"
93.882541,24.738975,269,Manipur,India,2020/12/12 01:27:11+00,24.738975,93.882541,26685,23397,318,2970,,,"Manipur, India"
91.278882,25.536934,270,Meghalaya,India,2020/12/12 01:27:11+00,25.536934,91.278882,12586,11883,123,580,,,"Meghalaya, India"
92.83822,23.309381,271,Mizoram,India,2020/12/12 01:27:11+00,23.309381,92.83822,4008,3800,6,202,,,"Mizoram, India"
94.470302,26.06702,272,Nagaland,India,2020/12/12 01:27:11+00,26.06702,94.470302,11602,10868,68,666,,,"Nagaland, India"
84.418059,20.505428,273,Odisha,India,2020/12/12 01:27:11+00,20.505428,84.418059,322642,317870,1794,2978,,,"Odisha, India"
78.86498,11.882658,274,Puducherry,India,2020/12/12 01:27:11+00,11.882658,78.86498,37363,36372,617,374,,,"Puducherry, India"
75.40879,30.841465,275,Punjab,India,2020/12/12 01:27:11+00,30.841465,75.40879,158556,146126,5007,7423,,,"Punjab, India"
73.847973,26.583423,276,Rajasthan,India,2020/12/12 01:27:11+00,26.583423,73.847973,287219,265689,2500,19030,,,"Rajasthan, India"
88.472712,27.571671,277,Sikkim,India,2020/12/12 01:27:11+00,27.571671,88.472712,5264,4779,118,367,,,"Sikkim, India"
78.400624,11.006091,278,Tamil Nadu,India,2020/12/12 01:27:11+00,11.006091,78.400624,795240,772995,11853,10392,,,"Tamil Nadu, India"
79.0193,18.1124,279,Telangana,India,2020/12/12 01:27:11+00,18.1124,79.0193,276516,267427,1485,7604,,,"Telangana, India"
91.743565,23.746783,280,Tripura,India,2020/12/12 01:27:11+00,23.746783,91.743565,32997,32250,374,373,,,"Tripura, India"
,,281,Unknown,India,2020/12/12 01:27:11+00,,,0,0,0,0,,,"Unknown, India"
80.560982,26.925425,282,Uttar Pradesh,India,2020/12/12 01:27:11+00,26.925425,80.560982,561161,532349,8011,20801,,,"Uttar Pradesh, India"
79.197608,30.156447,283,Uttarakhand,India,2020/12/12 01:27:11+00,30.156447,79.197608,80486,73412,1332,5742,,,"Uttarakhand, India"
87.979803,23.814082,284,West Bengal,India,2020/12/12 01:27:11+00,23.814082,87.979803,513752,481385,8916,23451,,,"West Bengal, India"
113.9213,-0.7893,285,,Indonesia,2020/12/12 01:27:11+00,-0.7893,113.9213,605243,496886,18511,89846,,,Indonesia
53.688046,32.427908,286,,Iran,2020/12/12 01:27:11+00,32.427908,53.688046,1092407,787853,51727,252827,,,Iran
43.679291,33.223191,287,,Iraq,2020/12/12 01:27:11+00,33.223191,43.679291,572600,503897,12549,56154,,,Iraq
-7.6921,53.1424,288,,Ireland,2020/12/12 01:27:11+00,53.1424,-7.6921,75507,23364,2120,50023,,,Ireland
34.851612,31.046051,289,,Israel,2020/12/12 01:27:11+00,31.046051,34.851612,353269,333900,2969,16400,,,Israel
